IP,Field1,Field2,Date1,Date2
146.88.240.4,518235,14627,2019-02-21,2020-02-12
185.176.27.42,341178,13695,2019-11-29,2020-01-26
185.175.93.14,473582,13634,2019-11-09,2020-02-12
185.176.27.18,358788,13609,2019-11-27,2020-01-27
185.176.27.246,390705,13571,2019-11-21,2020-01-27
51.161.12.231,414438,13547,2019-11-26,2020-02-12
185.156.73.49,443135,13492,2019-11-28,2020-02-12
92.119.160.52,420119,13290,2019-11-28,2020-02-12
92.119.160.143,405163,13242,2019-11-27,2020-01-29
80.82.65.90,353552,13165,2019-11-10,2020-01-29
222.186.19.221,571405,13078,2019-12-07,2020-02-12
80.82.64.127,354626,12924,2019-11-21,2020-01-25
89.248.160.178,300235,12882,2019-11-28,2020-02-17
92.118.37.99,393794,12786,2019-09-28,2020-01-27
89.248.168.202,344970,12765,2019-11-27,2020-02-03
92.118.37.86,295481,12644,2019-10-14,2020-01-26
80.82.78.20,216421,12494,2019-12-09,2020-01-26
89.248.168.62,346620,12490,2019-12-28,2020-02-12
185.156.73.66,572224,12479,2019-12-02,2020-02-12
94.102.49.65,282978,12472,2019-11-10,2020-01-27
185.156.73.64,608893,12422,2019-12-03,2020-01-29
92.118.37.55,543554,12391,2019-12-02,2020-01-29
92.118.37.53,518627,12238,2019-12-05,2020-01-29
92.118.37.58,606469,12136,2019-12-03,2020-01-26
80.82.65.74,290954,12116,2019-11-10,2020-02-12
185.175.93.27,344420,11755,2019-11-09,2020-02-12
185.175.93.18,299409,11746,2019-11-28,2020-01-26
92.118.37.83,385363,11663,2019-09-20,2020-01-29
185.175.93.104,332450,11590,2019-11-28,2020-02-03
92.118.37.61,234289,11563,2019-12-03,2020-02-12
185.175.93.78,271908,11434,2019-10-16,2020-02-03
89.248.160.193,209894,11376,2019-11-28,2020-01-26
93.174.95.41,352626,11259,2019-08-14,2020-02-12
176.113.115.50,351463,11094,2020-01-04,2020-01-26
185.156.73.57,248217,11056,2019-12-19,2020-01-27
176.113.115.84,530971,11049,2020-01-23,2020-01-31
185.209.0.32,369008,11019,2019-11-28,2020-01-26
92.118.37.97,203455,11009,2019-11-28,2020-01-26
185.175.93.101,227846,11004,2020-02-07,2020-02-12
185.176.27.94,149333,10981,2019-12-06,2020-01-26
185.209.0.91,327530,10816,2019-11-28,2020-01-27
185.94.111.1,194041,10450,2019-12-20,2020-01-30
192.12.240.40,68493,10409,2020-01-04,2020-02-02
51.91.212.81,191782,10404,2019-11-27,2020-01-31
185.209.0.18,191876,10387,2019-12-01,2020-02-12
51.91.212.80,209470,10141,2019-12-31,2020-01-31
122.228.19.79,170142,10093,2019-11-10,2020-01-26
122.228.19.80,400985,10010,2019-11-28,2020-01-25
185.156.73.42,265200,9949,2019-11-28,2020-02-12
92.63.196.13,522528,9800,2020-01-20,2020-02-12
222.112.107.46,231049,9674,2019-11-13,2020-01-26
223.71.167.165,245369,9670,2019-12-30,2020-01-25
185.156.73.38,292036,9625,2020-01-08,2020-01-28
92.63.196.8,623152,9619,2020-01-20,2020-02-12
78.128.112.114,371027,9588,2019-11-17,2020-01-26
